Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, withdrawn, inactive, pending, etc."
Under sec. 10(j) — (a) Against unions,4,3,0,1 settled
Under sec. 10(j) — (b) Against employers,1,0,0,1 settled
Under sec. 10(l),219,83,9,73 settled; 48 alleged illegal activity suspended; 6 withdrawn; 9 pending
Total,224,86,9,138
