Industrial group,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Mining (subtotal),616,443,274,89,71,6,1,2,0,168,145,11,12,1,1,3
"Transportation, communication, and other utilities (subtotal)",5721,4030,2542,1162,199,34,27,8,7,1609,1370,89,150,28,11,43
Services (subtotal),7030,4014,2930,748,192,29,60,20,35,2858,2556,129,167,5,55,98
Public administration,,,,,,,,,,,,,,,,
"Total, all industrial groups",44923,31253,20311,7575,2008,566,120,60,133,13083,11037,680,1196,20,61,317
