row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"Al;. , 0 ,",,.0,,0 1,,.0,,00,,00,,00
4;t1 g 11 8 N,2,I 1,°,,"I""11",,,1 1,°,1,1,011
Mil,.471,II,"""",II,,,,,,.°74IP411011011,,
11.11,4,11,0,11,el,ll,'c,II,,°IINII,,
Aig.181,,,N0,01,,-0,0,000,,00,N,ON
"0,441 8 N",,11,,"""",,II,"""",II,°,11,0,II
Mfl,,II,°,I,4,II,cc,11,e,II,,I I
1141i,1,II,"r""'",11,!,II,,11,2,II,e,II
A14.181,E,g e,,1,g,su,x,w--,0,00,0,00
1111111,""" 4",II,°,I,.1,II,R,II,°,II,°.,I I
hi,;,II,I,I,,il1,R,11,2,,11°,I
1411,!,II,,I,E,llI,R,II,2,"11""",,I
04.1 81,2,R g,,°,Q,g V,A,"W""'",0,°°,"""",°I
litilli,,11.°,,I,c s'l,I 1,,11°,,11,'e,I
mil,,",11 .",.2,"II ,",,Il,,II,,II,,H
