row_label,col_1,col_2
"National Sanitary Company, The",31,135
Nebraska Power Company,27,88
"Nelson McCoy Pottery Company, The",27,176
"New England Overall Co., Inc",25,43
"New Idea, Inc",25,33
"New York Times Co., The",32,150
"New York Times Co., The",32,150
"Niles Fire Brick Company, The",27,39
Nineteen Hundred Corporation,32,73
"North American Aviation, Inc",29,27
"North American Motorship Company, Inc",27,160
"Ohio Match Company, The",28,129
"Ohio Match Company, The",28,129
Ohio Valley Hardware & Roofing Co,28,142
Old Colonel Distillery,32,162
"Olean Tile Co., Inc",32,65
Ore Steamship Corporation,31,174
"Osborn Manufacturing Company, The",28,148
"Osgood Company, The, Iron Foundry Division",27,181
"Overland Transportation Co., The",,
,25,70
"Pacific American Fisheries, Inc",28,42
Pacific Greyhound Lines,33,3 78
"Pangborn Corporation Paraffine Companies, Inc",31 25,b4
"Paraffine Companies, Inc",25,84
"Paramount Pictures Inc., Hollywood, Calif",27,8
"Paramount Pictures Inc., New York, N. Y",32,130
"Peerless of America, Inc",25,71
"Pelican Cracker Factory, Inc",29,105
Penberthy Injector Company,32,128
Pendleton Woolen Mills Garment Factory,26,74
"Pequonnock Foundry, Incorporated",31 25,8 59
"Perry Truck Lines, Inc Phelps Dodge Copper Products Corporation, Habirshaw Cable and",27,135
"Wire Division, Yonkers, N. Y Phelps Dodge Copper Products Corporation, Elizabeth, N. J",29,140
Philadelphia Inquirer Company,31,7
"Pickands, Mather & Company and Verona Mining Company",25,114
"Pickands, Mather & Company and Verona Mining Company",•25,114
Pidgeon Thomas Iron Company,32,68
Pillsbury Flour Mills Company,27,155
Pittsburgh Plate Glass Company,31,71
"Poe Company, Incorporated, The C. W",27,13
Poison Logging Company and Ozette Railway Company,31,52
Poison Logging Company and Ozette Railway Company,31,52
"Prater, Elmer, Operator",27,59
"Precision Castings Company, Inc Press Wireless, Inc",26,52
,28,60
"Press Wireless, Inc",28,60
"Preston, Horace G., Company Providence Coal Mining Company",31,131 205
,27,
"Pullman-Standard Car Manufacturing Company, Haskell & Barker Plant",29,103
"Pyrites Company, The, Incorporated",28,153
,32,71
"Quaker Oats Company, The Quality Aluminum Casting Co",26,49
,,103
"R. C. A. Manufacturing Company, Inc RK0 Radio Pictures, Inc., Hollywood, Calif",30 27,8
"RK0 Radio Pictures, Inc., Hollywood, Calif",27,133 130
"RK0 Radio Pictures, Inc., New York, N. Y",32,111
"Racing Publications, Inc",29,
