row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2292,2164,1914,70,180,8
Initial hearings Hearings on objections and/or challenges _,"2,039 253","1,912 252","1,683 231",60 10,169 11,7 1
"Decisions issued, total",1992,1779,1570,51,158,4
By regional directors,1815,1632,1429,48,155,4
Elections directed Dismissals on record,"1,606 209","1,446 186","1,270 159",40 8,136 19,1 3
By Board,177,147,141,3,3,0
Transferred by regional directors for initial decision,57,47,45,1,1,0
Elections directed Dismissals on record,43 14,42 5,40 5,1 0,1 0,0 0
Review of regional directors' decisions Requests for review received,630,556,501,17,38,1
Withdrawn before request ruled upon,2,2,1,0,1,0
"Board action on request ruled upon, total",548,479,434,13,32,1
Granted,68 474,55 420,48 383,1 11,6 26,0 1
Denied Remanded,6,4,3,1,0,0
"Withdrawn after request granted, be- fore Board review",0,0,0,0,0,0
"Board decision after review, total _",120,100,96,2,2,0
decision Affirmed,50 34,40,40,0,0,0
Modified Reversed Outcome,36 83,24 36,24 32,0 2,0 2,0 0
Election directed Dismissals on record,37,78 22,76 20,1 1,1 1,0 0
