row_label,col_1
I Applications for fees and expenses filed with the NLRB under 5 U.S.C. §504,4
A. Number of applications filed B Decisions in FAJA cases ruled on (includes AU awards adopted by the Board and settlements).,
Granting fees .. . Denying fees .. .,
,4
C Amount of fees and expenses in cases listed in B. above. Claimed Recovered,"$361,156.89 0"
II. Petitions for review of Board Orders denying fees under 5 USC§504. A. Awards granting fees (Includes settlements) . B.Awards denying fees,1 1
C.Amount of fees and expenses recovered pursuant to court award or settlement (includes fees recovered cases in which court finds merit to claim but remands to Board for determination of fee amount),29716.00
in,
III. Applications for fees and expenses before the circuit courts of appeals under 5 US C §2412 A. Awards granting fees (includes settlements),
B.Awards denying fees,2
C Amount of fees and expenses recovered,1
,70707.06
IV. Applications for fees and expenses before the district courts under 5 U.S.C. §2412: A. Awards granting fees (includes settlements),0
B.Awards denying fees C.Amount of fees and expenses recovered,0
