Method of disposition,Total — Number of cases,Total — Number of workers involved,A. F. of L. affiliates — Number of cases,A. F. of L. affiliates — Number of workers involved,C. I. O. affiliates — Number of cases,C. I. O. affiliates — Number of workers involved,Unaffiliated unions — Number of cases,Unaffiliated unions — Number of workers involved,Employers — Number of cases,Employers — Number of workers involved
"Cases pending June 30, 1939",1211,494317,470,84737,596,287883,232,121617,,
"Cases received July 1, 1939 to June 30, 1940",2253,410494,1123,130124,715,156316,305,117489,74,11998
Total cases on docket,3464,904811,1593,214861,1311,444199,537,239106,74,11998
Total cases closed during fiscal year,2690,627500,1247,167673,1001,365000,405,,27,
"Cases pending June 30, 1940",754,279432,,,,,,,,
