Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
South Atlantic — Division subtotal,318,135,97,25,0,1,183,21609,19481,9474,5883,2830,1256,1205,11011,8415
East South Central — Division subtotal,199,78,38,14,0,4,121,14090,12272,5492,4098,922,,,,
West South Central — Division subtotal,167,71,50,13,1,2,96,,,,,,,,,
Mountain — Division subtotal,168,73,46,22,4,1,95,7876,,,,3651,,,,2392
