row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Decisions on objecdons and/or challenges, total","Decisions on objecdons and/or challenges, total",991,941,800,34,107,II
By Regional Directors,By Regional Directors,265,241,207,9,25,8
By Board,By Board,726,700,393,25,82,3
In stipulated elections,In stipulated elections,673,652,552,23,77,4
,No exceptions to Regional Directors' reports,453,. 435,385,13,37,4
,Exceptions to Regional Directors' reports,220,217,167,10,40,0
,In directed elections (after transfer by Regional Director),so,45,38,2,5,o
Review of Regional Directors' supplemental decisions:,Request for review received,152,148,133,4,11,o
,"Board action on request ruled upon, total",158,142,128,4,10,1
Granted,Granted,21,21,19,1,I,o
,,13,,,,,
Denied,Remanded,2,119 2,107 • 2,3 o,9 o,1 0
"Withdrawn after request granted, before","Withdrawn after request granted, before",,,,,,
Board review,Board review,0,0,0,0,o,o
"Board decision after review, total-- ......","Board decision after review, total-- ......",3,3,3,0,0,o
Regional Directors' decisions: Affirmed,Regional Directors' decisions: Affirmed,I,I,I,• o,o,o
,,I,I,I,o,o,0
Reversed,Reversed,1,1,• 1,0,0,o
