Stage and method of disposition,All cases / Number,All cases / Workers involved,Cases filed by A. F. of L. affiliates / Number,Cases filed by A. F. of L. affiliates / Workers involved,Cases filed by C. I. O. affiliates / Number,Cases filed by C. I. O. affiliates / Workers involved,Cases filed by unaffiliated unions / Number,Cases filed by unaffiliated unions / Workers involved,Cases filed by employers / Number,Cases filed by employers / Workers involved
Closed by certification,949,599271,381,145322,444,394887,112,51967,12,7095
After stipulated election (Closed by certification),199,160792,56,8158,115,143230,25,4025,3,5379
After ordered election (Closed by certification),743,425642,322,137160,325,238832,86,47934,9,1716
Without election (Closed by certification),7,12837,3,10,4,12825,1,0,0,0
Dismissed,217,75603,113,25474,80,41985,21,7274,3,870
After stipulated election (Dismissed),15,6602,6,4457,7,2105,1,40,0,0
After ordered election (Dismissed),102,31907,58,8933,28,22451,5,363,0,160
Without election (Dismissed),100,37094,58,12084,38,17429,5,6871,1,710
Withdrawn,41,6347,30,2006,10,4259,,,1,82
