row_label,col_1,col_2
I.,Introduction,1
,A. Work of the Board,1
,B. Tendency of unions to resort to the act instead of to eco- nomic weapons,1
,C. State labor relations boards,3
,D. Court review of the Board's orders,3
,E. The Board and the administrative process,4
,F. The effect on the work of the Board of the conflict between the American Federation of Labor and Committee for Industrial Organization,6
II.,The National Labor Relations Board,9
,A. The Board,9
,B. Organization-Washington office,9
,C. Organization-Regional offices,10
,"D. Regional offices-Location, Territory, and Personnel",11
III.,Procedure of the Board,16
IV.,Work of the Board,18
,A. Statistical summary,18
,B. Analysis of cases by unions involved,22
,C. Comparison of the work of the Board 1937-38 with fiscal years 1935-36 and 1936-37,25
V.,Complaint cases,27
,A. Statistical summary of complaint cases,27
VI.,B. Analysis of complaint cases by unions involved Representation cases,34 39
,A. Statistical summary of representation cases,39
,B. Analysis of representation cases by unions involved,43
,C. Elections conducted by the Board,47
VII.,Principles established,51
,"A. Interference, restraint, and coercion in the exercise of the rights guaranteed in section 7 of the act",51
,B. Encouragement and discouragement of membership in a labor organization by discrimination,65
,C. Collective bargaining,90
,D. Domination and interference with the formation or adminis- tration of a labor organization and contribution of financial or other support to it,108
,E. Investigation and certification of representatives Adequate proof of majority representation where no,126
,F. election is held,150
,G. The unit appropriate for the purposes of collective bargain- ing,156
,H. Administrative remedies,197
VIII.,Jurisdiction,216
,A. The exclusive jurisdiction of the Board to determine in the first instance whether an alleged unfair labor practice is one affecting commerce,216
,B. The scope of the Board's jurisdiction to prevent unfair labor practices,217
IX. Litigation,IX. Litigation,221
,A. Injunction proceedings,221
,B. Enforcement and review,221
,C. Miscellaneous court proceedings,227 229
,"D. Principles established Cumulative siimmary of litigation for fiscal year, 1938._",237
,E.,
