Industrial group 1,Total,Number of elections in which representation rights were won by / AFL-CIO affiliates,Number of elections in which representation rights were won by / Unaffiliated unions,In which no representative was chosen,Eligible voters,Valid votes cast
Total,6380,2400,1340,2640,483964,436725
Manufacturing,3944,1604,705,1635,372500,339388
Manufacturing,,,,,,
"Agriculture, forestry, and fisheries",6,2,1,3,180,161
Mining,60,23,20,17,4691,4300
Construction,122,70,18,34,5749,4655
Wholesale trade,389,118,81,240,13174,12404
Retail trade,813,200,197,432,31591,27424
"Finance, insurance, and real estate",41,5,6,17,1609,1447
"Transportation, communication, and other public utilities",565,159,198,208,18973,16980
Transportation/utilities,,,,,,
Services,256,104,55,97,35588,30394
