Stage of disposition,All C cases / Number of cases,All C cases / Percent of total closed,CA cases / Number of cases,CA cases / Percent of total closed,CB cases / Number of cases,CB cases / Percent of total closed,CC cases / Number of cases,CC cases / Percent of total closed,CD cases / Number of cases,CD cases / Percent of total closed,CE cases / Number of cases,CE cases / Percent of total closed,CG cases / Number of cases,CG cases / Percent of total closed,CP cases / Number of cases,CP cases / Percent of total closed
Total number of cases closed,32406,100.0,21762,100.0,7893,100.0,1762,100.0,441,100.0,109,100.0,70,100.0,459,100.0
Before issuance of complaint,28799,88.8,18833,86.6,7374,94.4,1582,89.9,428,97.1,57,80,73,61,411,89.6
"After issuance of complaint, before opening of hearing",2092,6.4,1672,7.7,224,2.9,116,6.6,17,3.9,,,,,55,12.0
"After hearing opened, before issuance of administrative law judge's decision",154,0.5,134,0.6,,,,,,,,,,,,
"After administrative law judge's decision, before issuance of Board decision",10,,5,,,,,,,,,,,,,
After Board order adopting administrative law judge's decision in absence of exceptions,220,0.7,185,0.9,28,0.4,4,0.2,,,,,,,,
"After Board decision, before circuit court of appeals decree",732,2.3,502,2.6,164,2.1,21,1.2,,,,,5,7,,
"After circuit court of appeals decree, before Supreme Court action",398,1.2,212,1.6,94,1.5,26,1.5,,,0.9,2,2.9,,,
After Supreme Court action,,,,,,,,,,,,,,,,
