row_label,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases,,,,,
Notice posted,658,261,296,72,29
Company union disestablished,36,12,16,7,1
Workers placed on preferential hiring list,64,26,32,6,0
Collective bargaining begun,273,126,109,38,0
Workers,,,,,
Workers reinstated to remedy discriminatory discharge,4114,987,1118,1977,32
Workers receiving back pay,2656,624,1776,205,51
Back-pay awards,1105000,196000,835000,61000,13000
Strikers reinstated,964,235,729,0,0
