Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Nevada (RC),18,6,1,1,0,4,12,619,440,254,29,16,0,186,186,438
Mountain (RC subtotal),133,70,48,10,0,5,63,7025,5692,2498,1592,276,141,489,3194,2640
California (RC),430,200,111,72,5,12,230,19488,16746,8807,5730,2226,374,477,7939,8543
Pacific — Division subtotal (RC),622,289,158,100,8,23,333,29645,25090,11735,7771,3455,498,724,12632,11500
"Outlying Areas — subtotal (RC, Puerto Rico + Virgin Islands)",47,26,5,6,0,15,21,4080,3789,1618,426,317,0,875,2117,1033
"Total, all States and areas — RC GRAND TOTAL",3663,1740,1073,465,59,143,1923,223018,198565,92155,65644,15353,3745,7393,106410,76272
