Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,30,23,76.7,7,23.3,1514,973,64.3,541,35.7,1202,79.4,783,51.7
AFL-CIO unions,22,16,72.7,6,27.3,985,529,53.7,456,46.3,811,82.3,435,41.2
Teamsters,8,7,87.5,1,12.5,529,444,83.9,85,16.1,391,73.9,348,65.8
