row_label,col_1,col_2,col_3,col_4
l-CC-573____,"Electrical Workers, Local 3 &Building &Construction Trades Council of Greater N Y. (Digangi Electrical Services).","June 21,",1960,(1)
i-CC-137___,"Musicians, Philadelphia Musical Son- ety, Local 77 (Holly House &Ross Restaurant).",June,"21, 1960",(1)
11-CP-18___.,"Operating Engineers, Local428 (Kroeck- Cr, Contracting Co., Inc )",June,"22, 1960",(1)
l-CC-254___,"Machinists, Dist. Lodge 91 &Lodge 1746, et al (United Aircraft Corp ).",June,"27,1960",(I)
a1-CC-359_ .,"*Teamsters, Local 848 et al (Servette, Inc.).",June,"28,1960",(1)
9-CC-273___,"*Teamsters, Local 505 et al. (Caroima Lumber Co.).",June,"29,1960",(1)
