Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representation chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions — Total,Valid votes for unions — AFL-CIO unions,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Total employees in units choosing representation
Washington,114,53,48,1,4,61,7241,6245,3456,3358,3,95,2789,3632
California,386,191,177,4,10,195,18436,15732,7928,7290,254,384,7804,8236
Pacific Division — subtotal,624,291,270,6,15,333,39815,33512,17843,16133,312,1398,15679,18031
Outlying Areas — subtotal (Puerto Rico + Virgin Islands),65,37,22,0,15,28,3249,2740,1285,711,0,574,1455,1088
"Total, all States and areas",3586,1706,1533,64,109,1880,231187,201557,99918,87805,3289,8874,101659,97196
