Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,13184,100.0,11024,100.0,834,100.0,1325,100.0,209,100.0
Before issuance of notice of hearing,5087,38.6,3784,34.3,518,62.1,785,59.2,141,67.5
After issuance of notice before close of hearing,5836,44.3,5229,47.4,187,22.4,420,31.7,8,3.8
After hearing closed before issuance of decision,60,0.5,54,0.5,4,0.7,,,2,1.0
After issuance of regional director's decision,2037,15.4,1816,16.5,105,12.6,116,8.7,58,27.7
After issuance of Board decision,164,1.2,141,1.3,18,2.2,5,0.4,0,
