row_label,Standard Federal Regions,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation rights were won,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in elections choosing representation
"States in Region I (Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont) and per-state rows",,,,,,,,,,,,,,,,,
Region I,438,212,153,37,13,19,226,29624,25883,13170,8796,2145,1204,1025,12713,13110,
"States in Region II (Delaware, New Jersey, New York, Puerto Rico, Virgin Islands) and per-state rows",,,,,,,,,,,,,,,,,
Region II,979,468,239,151,30,48,511,71572,60956,37386,18184,4360,1927,14415,23016,41613,
"States in Region III (District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia) and per-state rows",,,,,,,,,,,,,,,,,
Region III,935,460,264,121,25,50,465,64557,57464,28289,19243,5342,2508,2996,29175,25086,
"States in Region IV (Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee) and per-state rows",,,,,,,,,,,,,,,,,
Region IV,903,373,241,102,13,17,530,116436,107949,47844,37270,7199,1755,1620,60105,29121,
