Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / In polls / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total,142,81,57.0,61,43.0,9125,3036,33.3,6089,66.7,7095,77.8,3551,38.9
AFL-CIO unions,85,46,54.1,39,45.9,5973,2289,38.3,3684,61.7,4647,77.8,2458,41.2
Teamsters,47,31,66.0,16,34.0,2336,558,23.9,1778,76.1,1810,77.5,701,32.3
Other national unions,5,0,,5,100.0,615,0,,615,100.0,455,80.5,188,30.6
Other local unions,5,4,80.0,1,20.0,201,189,94.0,12,6.0,143,71.1,114,56.7
