Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, inactive, pending, etc"
Under Sec 10 (g),,,,
(a) Against unions,1,1,0,1 settled
(b) Against employees,0,0,0,0
Under Sec 10 (l),59,22,10,"12 alleged illegal, activity suspended; 16 settled; 1 withdrawn; 3 pending"
Total,60,23,10,33
