row_label,col_1,Total proceedings,"Injunction proceedings / Pending in district court Oct. 1, 1993",Injunction proceedings / Filed in district court fiscal year 1994,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court Sept. 30, 1994"
Under Sec. 10(e) total,0,0,0,0,0,0,0,0,0,0,0
Under Sec. 10(l) total,72,5,67,52,18,0,9,0,20,5,20
8(b)(4)(i) 8(b)(4)(B),2,0,2,1,0,0,0,0,1,0,0
Remaining 8(b)(4) subsections,,,,,,,,,,,
Under Sec. 10(j) total,15,3,15,7,3,0,4,0,2,0,11
Sec. 10(j) subsection breakdown,,,,,,,,,,,
