Type of Election,All R Elections / Total elections — Elections Conducted,All R Elections / Withdrawn or dismissed before certification — Elections Conducted,All R Elections / Resulting in a rerun or runoff — Elections Conducted,All R Elections / Resulting in certification — Elections Conducted,RC Elections / Total elections — Elections Conducted,RC Elections / Withdrawn or dismissed before certification — Elections Conducted,RC Elections / Resulting in a rerun or runoff — Elections Conducted,RC Elections / Resulting in certification — Elections Conducted,RM Elections / Total elections — Elections Conducted,RM Elections / Withdrawn or dismissed before certification — Elections Conducted,RM Elections / Resulting in a rerun or runoff — Elections Conducted,RM Elections / Resulting in certification — Elections Conducted,RD Elections / Total elections — Elections Conducted,RD Elections / Withdrawn or dismissed before certification — Elections Conducted,RD Elections / Resulting in a rerun or runoff — Elections Conducted,RD Elections / Resulting in certification — Elections Conducted
All representation elections (Grand Total),2012,59,48,1905,1681,57,41,1583,26,0,0,26,305,2,7,296
  Rerun required (subdetail),,40,,,,33,,,,0,,,,7,,
  Runoff required (subdetail),,8,,,,8,,,,0,,,,0,,
Consent elections (subtotal),74,0,1,73,64,0,1,63,6,0,0,6,4,0,0,4
Stipulated elections (subtotal),1668,38,27,1603,1390,37,23,1330,15,0,0,15,263,1,4,258
Regional Director-directed elections (subtotal),270,21,20,229,227,20,17,190,5,0,0,5,38,1,3,34
Board-directed elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Expedited Sec. 8(b)(7)(C) elections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
