Union affiliation,Elections participated in / Total,Elections participated in / Resulting in certification / Number,Elections participated in / Resulting in certification / Percent of total,Elections participated in / Resulting in decertification / Number,Elections participated in / Resulting in decertification / Percent of total,Employees involved in elections (number eligible to vote) / Total eligible,Employees involved in elections (number eligible to vote) / Resulting in certification / Number,Employees involved in elections (number eligible to vote) / Resulting in certification / Percent of total eligible,Employees involved in elections (number eligible to vote) / Resulting in decertification / Number,Employees involved in elections (number eligible to vote) / Resulting in decertification / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,216,74,34.3,142,65.7,16231,8526,52.5,7705,47.5,14656,90.3,7672,52.3
AFL-CIO,167,60,35.9,107,64.1,14800,8003,54.1,6797,45.9,13326,90.0,7132,53.5
Unaffiliated,49,14,28.6,35,71.4,1431,523,36.5,908,63.5,1330,92.9,540,40.6
