Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,12487,100,10687,100,1160,100,640,100,133,100
Before issuance of notice of hearing,6555,52.5,5387,50.4,747,64.4,421,65.8,81,60.9
"After issuance of notice of hearing, before close of hearing",3680,29.5,3315,31.0,231,19.9,134,20.9,0,
"After hearing closed, before issuance of regional director's decision",96,0.8,83,0.8,10,0.9,3,0.5,,
After issuance of regional director's decision,1919,15.3,1731,16.2,117,10.1,71,11.1,52,39.1
After issuance of Board decision,237,1.9,171,1.6,55,4.7,11,1.7,,
