row_label,Number of elections and cross checks / Number,Elections and cross checks won by / A. F. of L. affiliates Number,Elections and cross checks won by / A. F. of L. affiliates Percent,Elections and cross checks won by / C. I. O. affiliates Number,Elections and cross checks won by / C. I. O. affiliates Percent,Elections and cross checks won by / Unaffiliated unions Number,Elections and cross checks won by / Unaffiliated unions Percent,Elections and cross checks won by / No union Number,Elections and cross checks won by / No union Percent,Eligible voters / Number,Eligible voters / Percent casting valid votes,Valid votes cast for / Total,Valid votes cast for / A. F. of L. affiliates Number,Valid votes cast for / A. F. of L. affiliates Percent,Valid votes cast for / C. I. O. affiliates Number,Valid votes cast for / C. I. O. affiliates Percent,Valid votes cast for / Unaffiliated unions Number,Valid votes cast for / Unaffiliated unions Percent,Valid votes cast for / Against unions Number,Valid votes cast for / Against unions Percent
Total,6920,2196,31.7,2138,30.9,860,12.4,1726,24.9,934453,86.2,805474,206524,25.6,288381,35.8,124827,15.5,185742,
A. F. of L. affiliates,2472,1707,69.1,,,,,,,,,,,,,,,,,
