row_label,All cases / Number,All cases / Per-cent of total closed,All cases / Per-cent of total method,CA cases / Number,CA cases / Per-cent of total closed,CA cases / Per-cent of total method,CB cases / Number,CB cases / Per-cent of total closed,CB cases / Per-cent of total method,CC cases / Number,CC cases / Per-cent of total closed,CC cases / Per-cent of total method,CD cases / Number,CD cases / Per-cent of total closed,CD cases / Per-cent of total method,CE cases / Number,CE cases / Per-cent of total closed,CG cases / Number,CG cases / Per-cent of total closed,CP cases / Number,CP cases / Per-cent of total closed
Supreme Court action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Withdrawal,8217,30.6,100.0,6222,30.7,75.7,1779,29.6,21.7,129,37.6,1.6,37,35.2,0.5,16,44.4,9,23.5,25,36.1
Before issuance of complaint,8112,30.2,98.7,6130,30.3,74.6,1771,29.4,21.6,125,36.4,1.5,37,35.2,0.5,16,44.4,8,23.5,25,34.7
"After issuance of complaint, before opening of hearing",70,0.3,0.9,57,0.3,0.7,8,0.4,1.2,0,0,0,0,0,0,0,0,0,0,0,0
"After hearing opened, before issuance of administrative law judge's decision",9,0.0,0.1,9,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After administrative law judge's decision, before Board decision",26,0.1,0.3,26,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After Board decision,0,0.0,0.1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dismissal,8012,29.8,100.0,5000,24.6,62.4,2959,49.3,36.9,98,28.6,1.2,20,19.0,0.2,13,36.1,9,26.5,12,16.7
Before issuance of complaint,7880,29.3,98.4,4759,23.5,59.4,2959,49.3,36.9,98,28.6,1.2,20,19.0,0.2,10,27.8,9,26.5,12,16.7
"After issuance of complaint, before opening of hearing",76,0.3,0.9,69,0.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After hearing opened, before issuance of administrative law judge's decision",5,0.0,0.1,5,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By administrative law judge's decision,4,0.0,0.0,0,0,0,4,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
By Board decision,51,0.2,0.6,46,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adopting administrative law judge's decision (no exceptions filed),23,0.1,0.3,18,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contested,28,0.1,0.3,27,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By circuit court of appeals decree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Supreme Court action,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
