Industrial group,All cases,Unfair labor practice cases / All C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union-deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Food and kindred products,221,183,151,30,2,0,0,0,34,,,,,,
Tobacco manufactures,14,8,3,0,0,0,0,0,6,,,,,,
Textile mill products,383,229,201,22,1,1,0,4,150,128,16,6,3,0,1
Apparel and other finished products made from fabric and similar materials,449,290,226,40,3,0,0,11,158,126,17,15,1,0,0
Lumber and wood products (except furniture),444,236,164,22,5,2,0,2,201,169,8,20,1,2,2
Furniture and fixtures,396,223,194,21,7,0,0,1,165,143,11,11,6,1,0
Paper and allied products,630,341,248,68,14,6,0,5,275,241,21,13,4,1,9
Manufacturing SIC sub-industries continued (Printing publishing and allied / Chemicals and allied products / Products of petroleum and coal / Rubber and plastic products / Leather and leather products / Stone clay and glass / Primary metal / Fabricated metal / Machinery (except electrical) / Electrical machinery / Aircraft and parts / Ship and boat building / Automotive and other transportation equipment / Professional scientific and controlling instruments),,,,,,,,,,,,,,,
