Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Unfair labor practice cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Representation cases / UD,Union deauthorization cases / AC,Amendment of certification cases / UC
New England,3015,2202,1794,409,129,19,4,0,4,,676,556,32,88,13,27
"Per-state rows (Maine, NH, VT, MA, RI, CT)",,,,,,,,,,,,,,,,
Middle Atlantic,10212,7603,5237,1880,320,111,6,13,82,,2338,2016,86,236,7,153
"Per-state rows (NY, NJ, PA)",,,,,,,,,,,,,,,,
East North Central,13565,10907,7971,2324,296,141,5,4,85,,2502,2066,126,310,10,84
"Per-state rows (OH, IN, IL, MI, WI)",,,,,,,,,,,,,,,,
West North Central,4129,3139,2215,631,82,61,4,2,44,,868,737,36,182,6,27
"Per-state rows (IA, MO, ND, SD, NE, KS, MN)",,,,,,,,,,,,,,,,
