row_label,Table,col_2,Page
16. Industrial Distribution of Representation Elections Held in Cases Closed,16,Industrial Distribution of Representation Elections Held in Cases Closed,178
17. Size of Units in Representation Elections in Cases Closed,17,Size of Units in Representation Elections in Cases Closed,183
"18. Distribution of Unfair Labor Practice Situations Received, by Number of Employees in Establishments",18,"Distribution of Unfair Labor Practice Situations Received, by Number of Employees in Establishments",185
"19. Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 2000; and Cumulative Totals, Fiscal Years 1937 through 2000",19,"Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 2000; and Cumulative Totals, Fiscal Years 1937 through 2000",186
"19A. Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforcement and/or Review of Board Orders, Fiscal Year 2000, Compared With 5-Year Cumulative Totals, Fiscal Years 1995 through 1999",19A,"Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforcement and/or Review of Board Orders, Fiscal Year 2000, Compared With 5-Year Cumulative Totals, Fiscal Years 1995 through 1999",187
"20. Injunction Litigation Under Sections 10(e), 10(j), and 10(l)",20,"Injunction Litigation Under Sections 10(e), 10(j), and 10(l)",188
21. Special Litigation Involving NLRB: Outcome of Proceedings in Which Court Decisions Issued in Fiscal Year 2000,21,Special Litigation Involving NLRB: Outcome of Proceedings in Which Court Decisions Issued in Fiscal Year 2000,189
"22. Advisory Opinion Cases Received, Closed, and Pending",22,"Advisory Opinion Cases Received, Closed, and Pending",191
22A. Disposition of Advisory Opinion Cases,22A,Disposition of Advisory Opinion Cases,191
"23. Time Elapsed for Major Case Processing Stages Completed, Fiscal Year 2000; and Age of Cases Pending Decision, September 30, 2000",23,"Time Elapsed for Major Case Processing Stages Completed, Fiscal Year 2000; and Age of Cases Pending Decision, September 30, 2000",192
24. NLRB Activity Under the Equal Access to Justice Act,24,NLRB Activity Under the Equal Access to Justice Act,192
