row_label,col_1,col_2
"Sanderson, August A., et al",28,92
Sanitary Products Corporation of America,27,206
Scharff Koken Manufacturing Company,30,87
"Sebastian! Canning Company (Miller, S. J. & J. A. Maitland, d/b/a)",27,143
"Silver Falls Timber Company, et al",29,112
Southern Printing and Publishing Company,25,51
"Sozonian Vault Company, The",29,59
"Staple Coat Company, Inc., et al",29,48
Stoner Manufacturing Corporation,27,57
"Sun Glow Industries, Inc",32,112
Sun Manufacturing Company,27,124
"Texas Company, The, a corporation",26,35
"Times-Picayune Publishing Company, The",28,96
"Tuscan Dairy Farms, Inc., et al",29,60
"Union Electric Company of Missouri, et al",31,145
"Utzinger, Walter, et al",28,7
"West-fir Lumber Company, et al",29,159
"Willamette Valley Lumber Company, et al",30,88
"Youngstown Sheet and Tube Company, The, et al",31,54
CASES DECIDED DURING THE FISCAL YEAR 1940-41,,
IL REPRESENTATION CASES DECIDED ONTHEMERITS,,
,Vol.,No.
"A & B Fast Freight, Inc. Abell Company, A. S",25,70 139
"Abell Company, A. S",27,139
,27,
Abinante & Nola Packing Co,26,119
Acme White Lead & Color Works,29,168
"Adams & Westlake Company, The",30,172
Advertising Metal Display Co,29,172
"Affiliated Dress Manufacturers, Inc",28,65
"Albina Engine and Machine Works, Inc",30,71
"Alden MacLellan, Inc.",31,127
Algoma Lumber Company Algoma Lumber Company,30 30,122 122
All States Freight Company,25,70
All Steel Welded Truck Corporation,31,33
"Allied Kid Co., Standard Kid and Sterling Kid Division",28,101
Aluminum Company of America,31,18
,,43
Aluminum Ore Company,30,
"Amalgamated Leather Companies, Inc",27,190
"American Coach & Body Co., The",28,77
"American Cyanamid Company, Calco Chemical Division",27,192
"American Cyanamid & Chemical Corporation, Selden Div.",30,78
"American Cyanamid & Chemical Corporation, Waterbury, Conn",31,147
American Dredging Company,28,108
American Enka Corporation,28,71
American Granite Finishing Co,27,168
American Lady Corset Company,27,191
"American National Company, The",27,4
"American Oak Leather Company, The",31,175
American Optical Company,32,93
American Potash and Chemical Corporation,28 28,41
American Potash and Chemical Corporation Smelting and Refining Co,,41 69
American,29,110
"American Steamship Company American Steel and Wire Company of New Jersey, The, Duluth,",27,
Minn.,31,112
"American Steel and Wire Company of New Jersey, Cyclone Fence",,
"Division, North Chicago Works",,
,32,177
