Division and State,All cases,All C cases,CA cases,CB cases,CC cases,CD cases,CE cases,CP cases,All R cases,RC cases,RM cases,RD cases,UD cases,AC cases,UC cases
"Total, all States and areas",30425,17040,11259,3404,1329,486,34,528,12957,11193,1140,624,125,86,217
New England,1628,942,494,178,108,31,0,31,758,647,78,33,4,7,17
Massachusetts,906,464,248,101,72,6,0,27,431,357,56,18,,,
Middle Atlantic,6558,3121,1828,789,240,120,6,138,2256,1943,220,93,26,37,11
New York,2777,1700,1074,408,127,87,3,91,872,753,88,31,,,
East North Central,6531,3760,2489,806,233,85,4,160,2690,2377,176,137,16,22,43
West North Central,2125,1005,788,188,97,34,1,26,997,880,79,38,15,18,21
South Atlantic (partial — page break),3177,1814,1372,235,130,29,3,45,1241,1209,79,53,,,
