Stage / Case type,Number of cases — Total,Number of cases — A.F.L. affiliates,Number of cases — C.I.O. affiliates,Number of cases — Unaffiliated unions,Number of cases — Individuals,Number of cases — Employers
"All cases — Pending July 1, 1954",4394,1849,815,260,1129,341
"All cases — Received July 1, 1954–June 30, 1955",13391,5672,2592,657,3196,1274
"All cases — On docket July 1, 1954–June 30, 1955",17785,7521,3407,917,4325,1615
"All cases — Closed July 1, 1954–June 30, 1955",13671,5972,2648,735,3091,1225
"All cases — Pending June 30, 1955",4114,1549,759,182,1234,390
"Unfair labor practice cases — Pending July 1, 1954",2672,862,443,114,1019,234
"Unfair labor practice cases — Received July 1, 1954–June 30, 1955",6171,1608,990,165,2679,729
"Unfair labor practice cases — On docket July 1, 1954–June 30, 1955",8843,2470,1433,279,3698,963
"Unfair labor practice cases — Closed July 1, 1954–June 30, 1955",6171,1739,1014,190,2549,679
"Unfair labor practice cases — Pending June 30, 1955",2672,731,419,89,1149,284
"Representation cases — Pending July 1, 1954",1715,987,372,146,103,107
"Representation cases — Received July 1, 1954–June 30, 1955",7165,4062,1601,490,467,545
"Representation cases — On docket July 1, 1954–June 30, 1955",8880,5049,1973,636,570,652
"Representation cases — Closed July 1, 1954–June 30, 1955",7442,4231,1634,543,488,546
"Representation cases — Pending June 30, 1955",1438,818,339,93,82,106
"Union-shop deauthorization cases — Pending July 1, 1954",7,0,0,0,7,
"Union-shop deauthorization cases — Received July 1, 1954–June 30, 1955",55,2,1,2,50,
"Union-shop deauthorization cases — On docket July 1, 1954–June 30, 1955",62,2,1,2,57,
"Union-shop deauthorization cases — Closed July 1, 1954–June 30, 1955",58,2,0,2,54,
"Union-shop deauthorization cases — Pending June 30, 1955",4,0,1,0,3,
