Type of case,Total Number,Total Percent by type,By employer Number,By employer Percent by type,By union Number,By union Percent by type,By both parties Number,By both parties Percent by type
All elections,1369,100.0,404,29.5,918,67.1,47,3.4
RC cases,1275,100.0,389,30.5,850,66.7,36,2.8
RM cases,59,100.0,9,15.3,45,76.3,5,8.4
RD cases,35,100.0,6,17.1,23,65.8,6,17.1
