row_label,All R cases — Number of cases,All R cases — Percent of cases closed,RC cases — Number of cases,RC cases — Percent of cases closed,RM cases — Number of cases,RM cases — Percent of cases closed,RD cases — Number of cases,RD cases — Percent of cases closed,UD cases — Number of cases,UD cases — Percent of cases closed
Total number of cases closed,13465,100.0,10796,100.0,831,100.0,1838,100.0,328,100.0
Before issuance of notice of hearing,4267,31.7,2747,25.4,506,60.9,1014,55.2,228,69.6
After issuance of notice before close of hearing,6890,51.2,6057,56.1,221,26.6,612,33.3,29,8.8
After hearing closed before issuance of decision,203,1.5,153,1.4,26,3.1,22,1.2,1,0.3
After issuance of regional director's decision,2043,15.2,1784,16.5,23,2.8,186,10.1,71,21.6
After issuance of Board decision,62,0.5,55,0.5,5,0.6,2,0.1,0,0.0
