Type of case or election,Total elections,Objections only — Number,Objections only — Percent,Challenges only — Number,Challenges only — Percent,Objections and challenges — Number,Objections and challenges — Percent,Total objections — Number,Total objections — Percent,Total challenges — Number,Total challenges — Percent
All representation elections,8611,739,8.6,235,2.7,160,1.9,899,10.4,395,4.6
By type of case — In RC cases,7778,690,8.9,221,2.8,150,1.9,840,10.8,371,4.7
By type of case — In RM cases,427,24,5.6,12,2.8,9,2.1,33,7.7,21,4.9
By type of case — In RD cases,406,25,6.2,2,0.5,1,0.2,26,6.4,3,0.7
By type of election — Consent elections,1969,91,4.6,31,1.6,20,1.0,111,5.6,51,2.6
By type of election — Stipulated elections,4911,418,8.5,130,2.6,90,1.8,508,10.3,220,4.5
By type of election — Expedited elections,33,6,18.2,0,0.0,0,0.0,6,18.2,0,0.0
By type of election — Regional director-directed elections,1594,212,13.3,71,4.5,43,2.7,255,16.0,114,7.2
By type of election — Board-directed elections,104,12,11.5,3,2.9,7,6.7,19,18.3,10,9.6
