Petitioning union,Intervening union,Elections / Number,Elections / Percent won by petitioner,Valid votes / Number,Valid votes / Percent won by petitioner
A. F. of L.,C. I. O.,199,60.8,96110,41.3
A. F. of L.,Unaffiliated,108,73.1,42674,57.7
C. I. O.,A. F. of L.,305,67.5,152906,57.4
C. I. O.,Unaffiliated,177,70.1,152217,53.3
Unaffiliated,A. F. of L.,53,47.2,10683,42.1
Unaffiliated,C. I. O.,45,57.8,17813,49.3
