row_label,Number of cases — Total / Total,Number of cases — Identification of petitioner / Individual,Number of cases — Identification of petitioner / Employer,Number of cases — Identification of petitioner / Union,Number of cases — Identification of petitioner / Courts,Number of cases — Identification of petitioner / State bds.
"Pending July 1, 1970",2,0,1,1,0,0
Received fiscal 1971,14,1,8,5,0,0
On docket fiscal 1971,16,1,9,6,0,0
Closed fiscal 1971,15,1,9,5,0,0
"Pending June 30, 1971",1,0,0,1,0,0
