row_label,Total proceedings,"Injunction proceedings — Pending in district court Oct. 1, 1981",Injunction proceedings — Filed in district court fiscal year 1982,Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept. 30, 1982"
Under Sec. 10(e) Total,5,0,5,5,5,0,0,0,0,0,0
Under Sec. 10(j) Total,52,9,43,52,23,8,15,4,2,0,0
Under Sec. 10(l) Total,117,17,100,117,65,6,35,1,5,2,0
