row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed .,". 32,756",100.0,,23156,100.0,7966,100.0,949,100.0,288,100.0,62,100.0,41,100 0,294,100 0
Agreement of the parties,9773,29.8,100.0,7891,340,1297,16.2,435,45.8,4,1.3,19,306,17,414,110,37.4
Informal settlement,9633,29.4,98.6,7782,33.6,1280,16.0,426,448,3,10,19,30.6,17,41.4,106,36.0
"Before issuance of complaint ... ................. ........ After issuance of complaint, before opening of",6894,21.0,70.5,5494,23.7,970,12.1,329,34.6,(a),,7,11 2,15,365,79,26.8
"hearing , After hearing opened, before issuance of administra- tive law judge's decision","2,685 54",8.2 0.2,27.5 06,"2,243 45",9.6 0.1,307 3,3.8 00,96 1,10.1 0.1,2 1,06 0.3,10 2,16.1 3.2,2 0,4.8 -,25 2,8.5 0.6
Formal settlement,140,0.4,1.4,109,0.4,17,0.2,9,0.9,1,03,0,,0,,4,1.3
"After issuance of complaint, before opening of hearing",46,0.1,0.5,30,0.1,9,0.1,5,0.5,0,,0,,0,,2,0.6
Stipulated decision Consent decree.,0 46,- 0.1,- 0.5,0 30,- 0.1,0 9,- 0.1,0 5,- 05,•0 0,,0 0,,0 0,,0 2,- 0.6
After hearing opened,94,0.3,1.0,79,0.3,8,0.1,4,04,1,0.3,0,,0,,2,0.6
Stipulated decision Consent decree,30 64,0.1 0.2,0.3 0.7,21 58,0.0 0.2,4 4,00 0.0,3 1,0.3 0.1,0 1,- 0.3,0 0,,0 0,,2 0,0.6 -
Compliance with,800,24,100.0,644,27,133,1.6,12,1.2,1,0.3,1,1.6,0,,9,3.0
Administrative law judge's decision.. Board decision,43 539,0.1 1.6,5.4 67.4,40 414,0.1 17,2 108,0.0 1.3,0 7,- 07,0 1,- 0.3,0 1,- 1.6,0 0,,1 8,03 2.7
Adopting administrative law judge's decision (no exceptions filed),209,0.6,26.1,155,0.6,51,06,2,0.2,0,,0,,0,,1,03
Contested,330,1.0,41.3,259,1.1,57,0.7,5,05,1,0.3,1,1.6,0,,,2.3
Viernit enure nf Emends decree,205,06,25.6,180,0.7,20,0.2,5,0.5,0,,0,,0,,7 0,
