Type of litigation,Number of proceedings / Total—all courts / Number decided,Number of proceedings / Total—all courts / Court determination Upholding Board position,Number of proceedings / Total—all courts / Court determination Contrary to Board position,Number of proceedings / In courts of appeals / Number decided,Number of proceedings / In courts of appeals / Court determination Upholding Board position,Number of proceedings / In courts of appeals / Court determination Contrary to Board position,Number of proceedings / In district courts / Number decided,Number of proceedings / In district courts / Court determination Upholding Board position,Number of proceedings / In district courts / Court determination Contrary to Board position
Totals—all types,54,50,4,23,23,0,31,27,4
NLRB-initiated actions,20,19,1,10,10,0,10,9,1
To enforce subpena,18,18,0,9,9,0,9,9,0
To restrain dissipation of assets by respondent,0,0,0,0,0,0,0,0,0
To defend Board's jurisdiction,2,1,1,1,1,0,1,0,1
Action by other parties,34,31,3,13,13,0,21,18,3
To restrain NLRB from,21,20,1,7,7,0,14,13,1
Proceeding in R case,15,14,1,3,3,0,12,11,1
Proceeding in unfair labor practice case,4,4,0,3,3,0,1,1,0
Proceeding in backpay case,1,1,0,0,0,0,1,1,0
Other,1,1,0,1,1,0,0,0,0
To compel NLRB to,13,11,2,6,6,0,7,5,2
Issue complaint,1,1,0,,,,1,1,0
Seek injunction,0,0,0,0,0,0,0,0,0
Take action in R case,6,4,2,0,0,0,6,4,2
Other,6,6,0,6,6,0,0,0,0
