row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
10(k) notices of hearings issued,71,,,,,69,,,,,,__,__
"Complaint, issued",4 630,3 714,2 984,408,125,,5,5,2,26,40,38,81
Backpas specifications issued,74,59,47,II,0,,0,0,0,0,I,0,0
Hearings completed total,821,755,597,102,10,17,0,0,0,6,3,II,9
"Initial ULP hearing,",750,704,552,96,10,17,0,0,0,6,3,11,9
"Backpay hearing,",49,38,33,5,0,,0,0,0,0,0,0,0
Other hearings,22,13,12,1,0,,0,0,0,0,0,0,0
Decisions In> administrative lass Judges total,796,764,632,110,17,,1,0,0,4,1,8,7
Initial ULP decisions,712,704,580,104,15,,1,0,0,4,2,8,7
Backpas decisions,39,39,31,5,1,,0,0,0,0,I,0,0
Supplemental decisions,29,21,19,I,1,,0,0,0,0,0,_ - 1 0,0
"Decisions and order, b. the Board total",I 456,1 217,923,114,43,20,5,7,2,12,25,30,36
Upon consent of parties,,,,,,,,,,,,,
Initial decisions,91,69,49,7,11,,0,1,0,0,0,0,I
Supplemental decisions,0,0,0,0,0,,0,0,0,0,0,0,0
Adopting administrative lass judges decisions (no exceptions Ii led),,,,,,,,,,,,,
Initial ULP decisions,257,222,174,27,5,,0,1,0,3,2,9,1
Backpas decisions,1,1,I,0,0,,0,0,0,0,0,0,0
Contested,,,,,,,,,,,,,
Initial ULP decisions,1 011,857,647,73,26,20,5,4,2,8,22,20,30
Decisions based on stipulated record,34,21,12,2,1,,0,1,0,1,0,0,4
Supplemental ULP decisions,20,16,13,3,0,,0,0,0,0,0,0,0
Backpao decisions,18,31,27,2,0,,0,0,0,0,1,1,0
