Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Votes for unions — AFL-CIO,Votes for unions — Teamsters,Votes for unions — Other national,Votes for unions — Other local,Votes for no union,Valid votes cast in elections lost — Total,Total votes for unions — AFL-CIO,Total votes for unions — Teamsters,Total votes for unions — Other national,Total votes for unions — Other local,Votes for no union
B. Elections in RC cases — 1-union AFL-CIO,104665,22420,22420,,,,10406,71839,23744,,,,47895
B. Elections in RC cases — 1-union Teamsters,33194,6037,,6037,,,2899,27157,,7520,,,16648
B. Elections in RC cases — 1-union TOTAL,147334,31688,22420,6037,1647,1584,14440,115206,33769,,,,73933
B. Elections in RC cases — 2-union TOTAL,13333,8853,4018,1058,467,3280,688,1125,757,192,0,176,2697
B. Elections in RC cases — 3-union TOTAL,354,354,237,,0,113,4,,,,,,
Total RC elections,161221,40861,26656,7133,2113,4977,15132,37030,34525,,,,70793
C. Elections in RM cases — 1-union AFL-CIO,1074,11,11,,,,63,1000,264,,,,699
C. Elections in RM cases — 1-union TOTAL,1369,203,111,84,,0,63,,,,,,
