Circuit court of appeals (headquarters),Total Fiscal Year 1998,Total Cumulative fiscal years 1993-1997,Affirmed in full — Fiscal Year 1998 Number,Affirmed in full — Fiscal Year 1998 Percent,Affirmed in full — Cumulative 1993-1997 Percent,Modified — Fiscal Year 1998 Number,Modified — Fiscal Year 1998 Percent,Modified — Cumulative 1993-1997 Percent,Remanded in full — Fiscal Year 1998 Number,Remanded in full — Fiscal Year 1998 Percent,Remanded in full — Cumulative 1993-1997 Percent,Affirmed in part and remanded in part — FY1998 Number,Affirmed in part — FY1998 Percent,Affirmed in part — Cumulative 1993-1997 Percent,Set aside — FY1998 Number,Set aside — FY1998 Percent,Set aside — Cumulative 1993-1997 Percent,col_18,col_19
Total all circuits,144,789,94,65.3,515,68,9.3,18,12.5,67,9.7,8,5.6,43,5.7,8,5.6,30,
"Boston, MA (1st Circuit)",3,29,3,100.0,22,75.9,0,0,2,6.9,0,0,0,0,1,3.4,0,0,
"New York, NY (2nd Circuit)",13,67,8,61.5,49,73.1,2,15.4,0,0,0,0,1,7.7,2,15.4,5,7.5,
"Washington, DC (DC Circuit)",22,130,13,59.1,76,58.5,2,9.1,1,16,12.3,1,4.5,10,7.7,0,0,20,15.4
