row_label,Total,Fiscal year 1944,Fiscal year 1945,July-December 1945
Cases received,4601,1089,1284,2228
Cases closed,4176,1035,1183,1958
Method of disposition: Polls conducted,1571,232,404,935
Method of disposition: Withdrawn,2249,688,727,834
Method of disposition: Closed otherwise,356,115,52,189
Cases pending end of period,425,54,155,425
Results of polls — Total number of polls,2168,381,573,1214
Voted in favor of interruption of work,1850,323,482,1045
Voted against interruption of work,318,58,91,169
Total number eligible to vote,2923655,129661,738972,2055022
Total valid votes cast,1926811,98224,540242,1288345
Votes in favor of interruption of work,1593037,69978,442769,1081190
Votes against interruption of work,332874,28246,97473,207155
Number of employers involved,26630,2885,11994,11751
