row_label,Size of unit (number of employees),Total RC and RM elections — Number,Total RC and RM elections — Percent of total,Number of employees eligible to vote,Elections in which representation rights were won by unions — Total Number,AFL-CIO unions — Number,AFL-CIO unions — Percent of total elections,Teamsters — Number,Teamsters — Percent of total elections,Other national unions — Number,Other national unions — Percent of total elections,Other local unions — Number,Other local unions — Percent of total elections,Elections in which no representative was chosen — Number,Elections in which no representative was chosen — Percent of total
Total RC and RM elections — Section A Certification elections,3543,100.0,219090,1696,1026,29.0,419,11.8,67,1.9,184,5.2,1847,52.1,
Size-of-unit,,,,,,,,,,,,,,,
