row_label,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
"Employees offered reinstatement, total",2008,2008,1419,1,31,271,266,,,,
Accepted,1580,1580,1179,1,24,252,124,,,,
Declined,428,428,240,0,27,19,142,,,,
Employees placed on preferential hiring list,150,150,144,0,5,0,1,,,,
Hiring hall rights restored,22,,,,,,22,21,0,1,0
Objections to employment withdrawn,6,,,,,,,,,,
Employees receiving backpay,31497,31358,25620,15,642,2150,2931,139,132,0,7
From either employer or union,67,67,67,0,0,0,0,,1,5,1
From both employer and union,67,67,67,0,0,0,0,,,,
"Employees reimbursed for fees, dues, and fines",1597,447,446,0,0,2,3,1150,331,0,818
From either employer or union,1289,791,351,0,10,430,0,498,105,0,392
"C. By amount of monetary recovery, total",84313802,83804286,44303931,36883,1914057,12233351,25316064,509516,309156,0,27766
"Backpay (includes all monetary payments except fees, dues, and fines)",83837873,83420831,44083185,36883,1914057,12097065,25289471,417042,247859,0,26577
"Reimbursement of fees, dues, and fines",475929,383455,220546,0,30,136286,26593,92474,61338,0,1409
