row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Illinois……………………………………………….,1231,1074,766,227,51,16,0,1,13,153,112,0,41,3,0,1
Indiana……………………………………………….,896,774,612,141,9,8,1,0,3,115,83,3,29,5,0,2
Michigan…………………………………………….,1840,1512,1152,329,20,3,1,2,5,306,254,7,45,11,0,11
Minnesota……………………………………………,424,292,223,61,5,0,2,1,0,126,96,1,29,3,0,3
Ohio………………………………………………….,2354,2024,1500,441,45,8,21,7,2,316,259,9,48,8,1,5
Wisconsin……………………………………………,908,491,394,88,6,1,0,0,2,384,308,8,68,18,1,14
RegionV………………………….,7653,6167,4647,1287,136,36,25,11,25,1400,1112,28,260,48,2,36
Arkansas……………………………………………..,147,122,107,15,0,0,0,0,0,24,21,0,3,0,0,1
Louisiana…………………………………………….,530,493,379,113,1,0,0,0,0,36,28,1,7,0,0,1
NewMexico…………………………………………,163,134,108,25,1,0,0,0,0,28,24,0,4,1,0,0
Oklahoma……………………………………………,184,151,109,42,0,0,0,0,0,31,21,1,9,2,0,0
Texas………………………………………………...,976,876,637,238,1,0,0,0,0,99,84,2,13,0,0,1
RegionVI………………………...,2000,1776,1340,433,3,0,0,0,0,218,178,4,36,3,0,3
Iowa………………………………………………….,267,193,150,34,6,0,0,0,3,71,55,1,15,0,0,3
Kansas…………………………………………….....,191,153,122,29,2,0,0,0,0,38,32,0,6,0,0,0
Missouri………………………………………….…..,998,833,589,199,27,17,0,0,1,158,117,10,31,5,0,2
Nebraska………………………………………....….,81,67,59,6,1,0,0,1,0,13,11,0,2,0,0,1
Region VII ......................................,1537,1246,920,268,36,17,0,1,4,280,215,11,54,5,0,6
Colorado……………………………………………..,582,506,430,75,1,0,0,0,0,69,61,1,7,2,0,5
Montana………………………………………....…..,118,84,73,7,4,0,0,0,0,31,22,2,7,1,0,2
NorthDakota…………………………………….…..,36,26,25,1,0 0,0 0,0,0,0,9,8,0,1,0,0,1
SouthDakota………………………………………...,27,18,16,2,,,0,0,0,9,8,0,1,0,0,0
Utah………………………………………………….,83,63,57,6,0,0,0,0,0,17,17,0,0,0,1,2
Wyoming…………………………………………….,44,36,24,12,0,0,0,0,0,8,7,0 3,1,0,0,0
Region VIII …………………….....,890,733,625,103,5,0,0,0,0,143,123,,17,3,1,10
