Stage and method,All C cases / Number of cases,All C cases / Percent of cases closed,NLRA C cases / Number of cases,NLRA C cases / Percent of cases closed,LMRA CA cases / Number of cases,LMRA CA cases / Percent of cases closed,LMRA other C cases / Number of cases,LMRA other C cases / Percent of cases closed
Total number of cases closed,3643,100.0,2048,100.0,1165,100.0,430,100.0
"Before formal action, total",3382,92.8,1799,87.8,1162,99.7,421,97.9
Before formal action — Adjusted,559,15.3,192,9.4,297,25.5,70,16.3
Before formal action — Withdrawn,1651,45.3,895,43.7,527,45.2,229,53.2
Before formal action — Dismissed,1165,32.0,711,34.7,335,28.7,119,27.7
Before formal action — Closed otherwise,7,.2,1,,3,.3,3,.7
"After formal action, total",261,7.2,249,12.2,3,.3,9,2.1
"After formal action — Before hearing, total",34,.9,24,1.2,3,.3,7,1.6
Before hearing — Adjusted,17,.5,14,.7,2,.2,1,.2
Before hearing — Withdrawn,13,.4,7,.3,0,0,6,1.4
Before hearing — Dismissed,4,.1,3,.2,1,.1,0,0
"After formal action — After hearing, total",32,.9,30,1.4,0,0,2,.5
After hearing — Adjusted,5,.1,5,.2,0,0,0,0
After hearing — Compliance with intermediate report,12,.4,12,.6,0,0,0,0
After hearing — Withdrawn,10,.3,8,.4,0,0,2,.5
After hearing — Dismissed,5,.1,5,.2,0,0,0,0
"After formal action — After Board decision, total",105,2.9,105,5.2,0,0,0,0
After Board decision — Compliance,55,1.5,55,2.7,0,0,0,0
After Board decision — Dismissed,43,1.2,43,2.1,0,0,0,0
After Board decision — Closed otherwise,7,.2,7,.4,0,0,0,0
"After formal action — After court action, total",90,2.4,90,4.4,0,0,0,0
After court action — Compliance with consent decree,29,.8,29,1.4,0,0,0,0
After court action — Compliance with court order,46,1.3,46,2.2,0,0,0,0
After court action — Dismissed,9,.2,9,.5,0,0,0,0
After court action — Closed otherwise,6,.1,6,.3,0,0,0,0
