Division and State,Total elections,Number of elections in which representation rights won by unions — Total,Number of elections in which representation rights won by unions — AFL-CIO,Number of elections in which representation rights won by unions — Teamsters,Number of elections in which representation rights won by unions — Other national,Number of elections in which representation rights won by unions — Other local,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national,Valid votes cast for unions — Other local,Total votes for no union,Eligible employees in units choosing representation
Washington,247,142,62,48,4,28,105,7561,6669,3693,2236,970,135,2949,4014,
Oregon,147,77,46,29,2,0,70,5437,4784,2996,1555,523,11,204,2538,2168
California,1168,604,318,210,33,43,574,54512,47562,25887,14727,5881,1771,1939,20533,29113
Alaska,21,16,4,8,1,3,5,446,414,301,43,227,10,21,113,367
Hawaii,34,31,20,8,0,3,23,2155,1983,1837,1318,362,0,10,89,1433
Guam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pacific — Division total,1638,859,470,313,29,38,779,70316,61290,32795,20025,8629,2052,2087,28497,37481
Puerto Rico,216,124,45,34,0,45,92,13236,13157,7470,2683,1827,12,2748,5687,7741
Virgin Islands,6,3,2,0,0,1,3,402,320,155,0,0,0,0,165,199
Outlying Areas — Division total,222,127,48,34,0,46,95,13558,13477,7625,3016,1827,12,2749,5852,7940
"Total, all states and areas",9369,4786,2651,1542,316,277,4583,541445,480303,244232,154282,48756,23658,17536,236071,233874
