Election category,Total elections,Objections only / Number,Objections only / Percent,Challenges only / Number,Challenges only / Percent,Objections and challenges / Number,Objections and challenges / Percent,Total objections / Number,Total objections / Percent,Total challenges / Number,Total challenges / Percent
All representation elections,8916,863,9.7,294,3.3,161,1.8,1024,11.5,455,5.1
In RC cases,8052,807,10.0,272,3.4,146,1.8,953,11.8,418,5.2
In RM cases,338,21,6.2,11,3.3,8,2.4,29,8.6,19,5.6
In RD cases,526,35,6.7,11,2.1,7,1.3,42,8.0,18,3.4
Consent elections,1008,51,5.1,15,1.5,8,0.8,59,5.9,23,2.3
Stipulated elections,6094,593,9.7,199,3.3,112,1.8,705,11.5,311,5.1
Expedited elections,15,2,13.3,0,0,0,0,2,13.3,0,0
Regional director-directed elections,1713,212,12.4,69,4.0,35,2.0,247,14.4,104,6.1
Board-directed elections,86,5,5.8,11,12.8,6,7.0,11,12.8,17,19.8
