row_label,col_1,col_2
Xii,Forty-Eighth Annual Report of the National Labor Relations Board,
TABLE,,PAGE
15A.,"Geographic Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1983",203
15B.,"Geographic Distribution of Collective-Bargaining Elections Held in Cases Closed, Fiscal Year 1983",206
15C.,"Geographic Distribution of Decertification Elections Held in Cases Closed, Fiscal Year 1983",209
16.,"Industrial Distribution of Representation Elections Held in Cases Closed, Fiscal Year 1983",212
17,"Size of Units in Representation Election Cases Closed, Fiscal Year 1983 .",215
18,"Distribution of Unfair Labor Practice Situations Received, by Number of Employees in Establishments, Fiscal Year 1983 ....",217
19.,"Litigation for Enforcement and/or Review of Board Orders, Fiscal Year 1983; and Cumulative Totals, Fiscal Years 1936-83",218
19A.,"Proceedings Decided by Circuit Courts of Appeals on Petitions for Enforce- ment and/or Review of Board Orders, Fiscal Year 1983, Compared With 5-Year Cumulative Totals, Fiscal Years 1978 through 1982",219
20,"Injunction Litigation Under Section 10(e), 10(j), and 10(1), Fiscal Year 1983 ..",220
21.,Miscellaneous Litigation Involving NLRB; Outcome of Proceedings in Which Court Decision Issued in Fiscal Year 1983,221
22.,"Advisory Opinion Cases Received, Closed, and Pending, Fiscal Year 1983",222
22A.,"Disposition of Advisory Opinion Cases, Fiscal Year 1983 .",222
23,"Time Elapsed for Major Case Processing Stages Completed, Fiscal Year 1983, and Age of Cases Pending Decision, September 30, 1983 .",223
24.,"NLRB Activity Under the Equal Access to Justice Act, Fiscal Year 1983",223
,CHARTS IN CHAPTER I,CHARTS IN CHAPTER I
CHART,,PAGE
1,Case Intake by Unfair Labor Practice Charges and Representation Peti- tions .... . . .,2 2
2,ULP Case Intake,4
3,Disposition Pattern for Unfair Labor Practice Cases,...........5
3A,Disposition Pattern for Meritorious Unfair Labor Practice Cases .,7
3B.,Disposition Pattern for Unfair Labor Practice Cases After Trial,8
4,"Number and Age of Unfair Labor Practice Cases Pending Under Prelimi- nary Investigation, Month to Month.",9
5.,Unfair Labor Practice Merit Factor .,10
6.,Complaints Issued in Unfair Labor Practice Proceedings and Median Days,11
7,From Filing to Complaint,12
8,Unfair Labor Practice Cases Settled Administrative Law Judge Hearings and Decisions. ..,13
9,Amount of Backpay Received by Diserinunatees,14
10.,Time Required to Process Representation Cases From Filing of Petition to Issuance of Decision,15
11.,Contested Board Decisions Issued,16
12,Representation Elections Conducted .,18
13. 14.,Regional Director Decisions Issued in Representation and Related Cases .. Cases Closed,20
,Comparison of Filings of Unfair Labor Practice Cases and,
15,Representation,
