row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
South Carolina,120,110,98,11,1,0,o,o,0,9,8,0,1,0,0,1
Tennessee,716,645,522,119,2,1,0,0,1,68,50,2,16,3,0,0
Region IV,4509,4045,3385,641,9,2,"4 ,",2,2,444,365,10,69,5,0,15
Minois,2468,2038,1570,373,63,13,3,0,16,397,325,16,56,16,4,13
Indiana,1300,1130,906,192,24,5,0,0,3,161,124,4,33,1,0,8
Michigan,2191,1877,1440,406,23,5,0,0,3,288,216,10,62,9,2,15
Minnesota,479,340,254,70,10,3,o,0,3,128,101,3,24,4,3,4
Ohio,2086,1774,1403,319,36,10,2,2,2,287,239,4,44,8,2,15
Wisconsin,709,557,441,109,6,0,1,0,0,136,96,2,38,6,0,10
Region V,9233,7716,6014,1469,162,36,6,2,27,1397,1101,39,257,44,11,65
Arkansas,204,175,• 141,34,0,0,0,0,0,29,21,3,5,0,0,0
Louisiana,427,373,316,53,2,0,0,0,2,54,39,2,13,0,0,0
New Mexico,168,142,123,18,1,o,o,o,0,23,16,0,7,0,1,2
Oklahoma,211,183,161,20,1,0,1,0,0,26,19,0,7,2,0,0
Texas,1076,977,740,236,0,o,1,o,0,95,71,4,20,0,2,2
Region VI,2086,1850,1481,361,4,0,2,0,2,227,166,9,52,2,3,4
Iowa,235,179,140,31,5,3,o,o,0,56,47,0,9,0,0,0
Kansas,252,201,158,34,8,1,0,0,0,50,42,0,8,0,0,1
Missouri,1014,830,600,180,23,22,0,0,5,177,135,3,39,3,0,4
Nebraska,119,101,90,11,0,0,o,o,0,18,14,0,4,0,o,0
Region VII,1620,1311,988,256,36,26,0,0,5,301,238,3,60,3,0,5
Colorado Montana,878 150,809 99,695,102,9 0,0 0,2 0,0 0,1 0,64,47,2,15 20,0 2,0 0,5 0
,,,95,4,,,,,,49,28 18,1 0,,,0,1
North Dakota,54 35,32,29,3 0,o 0,o 0,o 0,o,0,21,5,0,3,0,0,0
South Dakota Utah,187,28 157,28 144,,0,1,0,0,0,28,24,0,2 4,0 0,0,
,,,,12,,,,0,0,7,,,,,,
Wyoming,76,63,51,12,0,0,0,0,0,12,10,1,1,0,0,1
