row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,131107,26665,26665,,,,13034,30980,30980,,,,60428
Teamsters Other national unions,"31,636 -","6,565 1,326",,6565,"-- 1,326",,2733,"6,851 1,662",,6851,"-- 1,662",,"15,487 2,903"
Other local unions,"6,443 9,297",2562,,,,"- 2,562",552 870,1894,,,,1894,"3,971 82,789"
I-union elections,"178,483 6,565",37118,"26,665 1,112",,1326,2.562,"17,189 105","41,387 859","30,980 859","6,851 -",1662,1894,1622
AFL-CIO v AFL-CIO AFL-CIO v Teamsters,"3,698 2,628","1,112 1.417",556,-- 861,,,265,354,116,238,,,592
AFL-CIO v National,1634,133,51,,82,,22,510,311,,199,,969
AFL-CIO v Local,4765,4351,2407,,,1944,216,79,42,,,37,119
Teamsters v National,16,13,,13,0,,3,0,,0,0,,0
Teamsters v Local,303,292,,140,,152,II,0,,0,,0,0
Teamsters v Teamsters,58,0,,,,,0,25,,,,,33
National v Local,130,,,,10,81,22,,,,1,1,15
Local v Local,623,589,0,0,0,589,24,10,0,0,0,10,0
2-umon elections,13855,7998,4126,1.014,92,2766,668,1839,1328,263,200,48,3350
AFL-CIO v AFL-CIOs Teamsters,249,247,25,222,,,2,0,0,0,,,0
AFL-CIO v AFL-CIO v National,671,667,204,,463,,4,0,0,,0,,0
AFL-CIO v Teamsters v Teamsters,65,46,3,,,,19,0,0,0,,,0
3 (or more)-union elections,985,960,232,265,463,0,25,0,0,0,0,0,0
Total RC elections,193323,46076,31.023,7844,1881,5328,17882,43226,32308,7114,1862,1942,86139
