Industrial group,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Total,4212,100.0,1067037,100.0,1522,36.1,1723,40.9,393,9.3,577,13.7
Manufacturing,3203,76.0,906650,84.9,1091,34.1,1403,43.8,292,9.1,418,13.1
Transportation equipment,286,6.8,178756,16.7,84,29.4,140,49.0,33,11.5,29,10.1
"Agriculture, forestry, and fisheries",19,.5,2216,.2,7,36.8,9,47.4,,,3,15.8
