Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Team-sters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Total votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Team-sters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Total votes for no union
C Elections in RM cases,,,,,,,,,,,,,
AFL-CIO,3687,759,759,759,,,,257,704,704,,,1967
Teamsters,1136,242,242,,242,,,119,164,,164,,631
Other national unions,727,593,,,,593,,81,26,,,26,27
Other local unions,99,39,,,,,39,33,,,,,27
1-union elections,5669,1633,759,242,593,39,490,894,704,164,26,,2652
AFL-CIO v. AFL-CIO,178,132,132,132,,,,35,0,0,,,11
AFL-CIO v. Teamsters,5,5,,,5,,,0,0,,,,
AFL-CIO v. local,110,100,22,,,,78,0,0,,,,
Teamsters v. Teamsters,69,69,,,69,,,0,0,,,,
National v. local,236,232,,,,127,105,4,0,,,,
Local v. local,113,0,,,,,,0,47,,,,66
2-union elections,711,538,154,74,127,183,49,47,0,,,47,77
Total RM elections,6380,2171,913,316,720,222,539,941,704,164,26,47,2729
