Size of establishment (number of employees),Total situations,Total / Number of situations,Total / Percent of all sit-uations,Type of situations / CA Number,Type of situations / CA Percent by size class,Type of situations / CB Number,Type of situations / CB Percent by size class,Type of situations / CC Number,Type of situations / CC Percent by size class,Type of situations / CD Number,Type of situations / CD Percent by size class,Type of situations / CE Number,Type of situations / CE Percent by size class,Type of situations / CP Number,Type of situations / CP Percent by size class,Type of situations / CA-CB combinations Number,Type of situations / CA-CB combinations Percent by size class,Other C combinations Number
Total,15799,100.0,,10112,100.0,2527,100.0,1000,100.0,455,100.0,38,100.0,341,100.0,952,100.0,164
Under 10,3838,20.2,,2232,22.1,664,26.2,338,33.0,120,,,,,,162,17.0,40
10 to 19,1696,10.7,,1141,,297,,117,,30,,,,,,,,20
"Remaining size brackets (20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80 to 89)",,,,,,,,,,,,,,,,,,
