Status,Total,Identification of filing party — AFL-CIO Unions,Identification of filing party — Other National Unions,Identification of filing party — Other local Unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All Cases — Pending October 1, 2005",15866,5717,4361,608,4501,679
All Cases — Received fiscal 2006,26728,7379,7010,917,10147,1275
All Cases — On docket fiscal 2006,42594,13096,11371,1525,14648,1954
All Cases — Closed fiscal 2006,28001,8051,7293,1018,10309,1330
"All Cases — Pending September 30, 2006",14593,5045,4078,507,4339,624
"Unfair labor practice cases — Pending October 1, 2005",14336,5214,3794,523,4206,599
Unfair labor practice cases — Received fiscal 2006,23091,6247,5734,713,9258,1139
Unfair labor practice cases — On docket fiscal 2006,37427,11461,9528,1236,13464,1738
Unfair labor practice cases — Closed fiscal 2006,24153,6756,5969,817,9421,1190
"Unfair labor practice cases — Pending September 30, 2006",13274,4705,3559,419,4043,548
"Representation cases — Pending October 1, 2005",1404,476,552,79,247,50
Representation cases — Received fiscal 2006,3354,1085,1225,177,759,108
Representation cases — On docket fiscal 2006,4758,1561,1777,256,1006,158
Representation cases — Closed fiscal 2006,3576,1250,1280,179,754,113
"Representation cases — Pending September 30, 2006",1182,311,497,77,252,45
"Union-shop deauthorization cases — Pending October 1, 2005",46,,,,46,
Union-shop deauthorization cases — Received fiscal 2006,119,,,,119,
Union-shop deauthorization cases — On docket fiscal 2006,165,,,,165,
Union-shop deauthorization cases — Closed fiscal 2006,123,,,,123,
"Union-shop deauthorization cases — Pending September 30, 2006",42,,,,42,
"Amendment of certification cases — Pending October 1, 2005",6,1,5,0,0,0
Amendment of certification cases — Received fiscal 2006,10,0,5,3,0,2
Amendment of certification cases — On docket fiscal 2006,16,1,10,3,0,2
Amendment of certification cases — Closed fiscal 2006,10,1,6,3,0,0
"Amendment of certification cases — Pending September 30, 2006",6,0,4,0,0,2
"Unit clarification cases — Pending October 1, 2005",74,26,10,6,2,30
Unit clarification cases — Received fiscal 2006,154,47,46,24,11,26
Unit clarification cases — On docket fiscal 2006,228,73,56,30,13,56
Unit clarification cases — Closed fiscal 2006,139,44,38,19,11,27
"Unit clarification cases — Pending September 30, 2006",89,29,18,11,2,29
