Circuit courts of appeals (headquarters),Total fiscal year 1972,Total fiscal years 1967-71,Affirmed in full / Fiscal year 1972 / Number,Affirmed in full / Fiscal year 1972 / Percent,Affirmed in full / Cumulative fiscal years 1967-71 / Number,Affirmed in full / Cumulative fiscal years 1967-71 / Percent,Modified / Fiscal year 1972 / Number,Modified / Fiscal year 1972 / Percent,Modified / Cumulative fiscal years 1967-71 / Number,Modified / Cumulative fiscal years 1967-71 / Percent,Remanded in full / Fiscal year 1972 / Number,Remanded in full / Fiscal year 1972 / Percent,Remanded in full / Cumulative fiscal years 1967-71 / Number,Remanded in full / Cumulative fiscal years 1967-71 / Percent,Affirmed in part and remanded in part / Fiscal year 1972 / Number,Affirmed in part and remanded in part / Fiscal year 1972 / Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1967-71 / Number,Affirmed in part and remanded in part / Cumulative fiscal years 1967-71 / Percent,Set aside / Fiscal year 1972 / Number,Set aside / Fiscal year 1972 / Percent,Set aside / Cumulative fiscal years 1967-71 / Number,Set aside / Cumulative fiscal years 1967-71 / Percent
Total all circuits,341,1601,239,70.1,1031,64.4,39,11.4,276,17.2,16,4.7,73,4.6,5,1.9,33,2.1,42,12.3,188,11.7
"1. Boston, Mass.",11,62,8,72.7,42,67.7,0,0,9,14.5,0,0,3,4.8,0,0,1,1.6,3,27.3,9,14.5
"2. New York, N.Y.",30,128,15,75.0,93,72.7,4,20.0,10,11.1,0,0,4,3.1,1,5.0,5,5.6,0,0,7,7.8
"3. Philadelphia, Pa.",46,158,15,71.4,46,70.8,2,9.5,5,7.7,0,0,3,4.6,1,4.8,2,3.1,3,14.3,9,13.8
"4. Richmond, Va.",27,127,17,63.0,70,64.4,2,7.4,27,21.3,1,3.7,8,6.3,0,0,2,1.6,1,3.7,11,8.7
"5. New Orleans, La.",61,308,49,80.4,199,64.6,5,8.2,65,21.3,5,8.2,12,3.9,0,0,7,2.3,2,3.3,25,8.1
"6. Cincinnati, Ohio",47,162,26,55.3,107,66.0,3,6.4,16,9.9,5,10.6,11,6.8,0,0,4,2.5,13,27.7,24,14.8
"7. Chicago, Ill.",34,168,23,67.6,112,66.7,3,8.8,27,16.1,1,2.9,7,4.2,0,0,0,0,7,20.6,22,13.1
"8. St. Louis, Mo.",34,108,16,47.1,80,74.1,9,26.5,8,7.4,2,5.9,8,7.4,1,2.9,1,0.9,6,17.6,18,16.7
"9. San Francisco, Calif.",60,173,42,70.0,120,69.4,10,16.7,16,9.2,0,0,11,6.4,1,1.7,2,1.2,8,13.3,22,12.7
"10. Washington, D.C.",18,80,13,72.2,55,68.8,0,0,10,12.5,1,5.6,0,0,1,5.6,4,5.0,3,16.7,11,13.8
