Category of decision,Number
stipulated record,481
Supplemental,31
Backpay,13
Determinations in jurisdictional disputes,13
Representation decisions,201
After transfer by Regional Directors for initial decision,1
After review of Regional Director decisions,45
On objections and/or challenges,155
Other decisions,9
Clarification of bargaining unit,7
Amendment to certification,0
Union-deauthorization,2
Noncontested decisions,303
Unfair labor practice,158
Representation,142
Other,3
