Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible / Percent of total eligible 1,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible 1
Total elections,19,13,68.4,6,31.6,2000,831,41.6,1169,58.4,1652,82.6,848,42.4
AFL,5,4,80.0,1,20.0,412,279,67.7,133,32.3,360,87.4,257,62.4
AFL-CIO,7,5,71.4,2,28.6,741,165,22.3,576,77.7,617,83.3,264,35.6
CIO,4,2,50.0,2,50.0,450,87,19.3,363,80.7,343,76.2,127,28.2
Unaffiliated,3,2,66.7,1,33.3,397,300,75.6,97,24.4,332,83.6,200,50.4
