row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1991",•18a08,9573,1934,904,1003,4794,
Received fiscal 1992,23119,11632,2777,818,799,7093,
On docket fiscal 1992,41327,21205,4711,1722,1.802,11887,
Closed fiscal 1992,22785,11.342,2787,718,876,7062,
"Pending September 30, 1992",18542,9863,1924,1004,926,"' 4,825",
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1991","*4,216",59,18,4,28,3250,857
Received fiscal 1992,8077,68,11,1,26,7074,897
On docket fiscal 1992,12293,127,29,5,54,10324,1754
Closed fiscal 1992,8382,70,20,2,25,7230,1035
"Pending September 30, 1992",3911,57,9,3,29,3094,719
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1991",•903,3,,0,7,,892
Received fiscal 1992,684,2,,16,17,,649
On docket fiscal 1992,1587,5,,16,24,,1541
Closed fiscal 1992,938,3,,4,17,,913
"Pending September 30, 1992",649,2,,12,7,,628
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
,*129,3,0,0,1,,125
"Pending October 1, 1991 Received fiscal 1992",280,6,3,8,7,,256
On docket fiscal 1992,409,9,3,,8,,381
Closed fiscal 1992,278,7,2,2,7,,260
"Pending September 30, 1992",131,2,1,6,1,,121
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1991",141,1,,,4,3,133
Received fiscal 1992,45,1,,,6,2,36
On docket fiscal 1992,186,2,,,10,5,169
Closed fiscal 1992,143,0,,,7,2,134
"Pending September 30, 1992",43,2,,• o,3,3,35
,CO cases,CO cases,CO cases,CO cases,CO cases,CO cases,CO cases
"Pending October 1, 1991",22,,,,,,22
Received fiscal 1992,29,,,,,,29
On docket fiscal 1992,51,,,,,,51
Closed fiscal 1992,31,,,,,,31
"Pending September 30, 1992",20,,,,,,20
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1991",.77,1,,,1,,74
Received fiscal 1992,208,2,,6,2,,198
On 'docket fiscal 1992,285,3,,6,3,,272
Closed fiscal 1992,193,3,,4,2,,184
"Pending September 30, 1992",92,,,2,1,,88
