Stage of disposition,All C cases / Number of cases closed,All C cases / Percent of cases closed,CA cases / Number of cases closed,CA cases / Percent of cases closed,CB cases / Number of cases closed,CB cases / Percent of cases closed,CC cases / Number of cases closed,CC cases / Percent of cases closed,CD cases / Number of cases closed,CD cases / Percent of cases closed,CE cases / Number of cases closed,CE cases / Percent of cases closed,CP cases / Number of cases closed,CP cases / Percent of cases closed
Total number of cases closed,19851,100.0,12815,100.0,4319,100.0,1491,100.0,673,100.0,83,100.0,470,100.0
Before issuance of complaint,17152,85.4,10776,84.1,3979,92.1,1271,85.2,656,98.5,44,53.0,426,90.6
"After issuance of complaint, before opening of hearing",1188,6.0,869,6.8,175,4.1,114,7.6,0,0,8,9.6,26,5.5
"After hearing opened, before issuance of trial examiner's decision",181,.9,112,.9,29,.7,33,2.2,0,0,0,0,1,.2
"After trial examiner's decision, before issuance of Board decision",25,.1,19,.1,2,,1,.1,0,0,0,0,2,.4
After Board order adopting trial examiner's decision in absence of exceptions,201,1.0,161,1.2,28,.6,5,.3,0,0,0,0,7,1.5
"After Board decision, before circuit court decree",619,3.1,522,3.9,68,1.6,21,1.4,9,1.3,0,0,,
"After circuit court decree, before Supreme Court action",421,2.1,350,2.5,30,.9,3,.2,0,0,34,41.0,4,.9
After Supreme Court action,64,.4,60,.5,3,.1,1,.1,0,0,0,0,0,0
